brand_id,ratingCount
554,42
897,105
469,184.4794104
903,133
397,72
868,4
330,184.4794104
133,184.4794104
554,6
800,4
4,184.4794104
727,184.4794104
47,184.4794104
507,184.4794104
712,184.4794104
75,1258
242,21
900,68
725,138
25,184.4794104
357,184.4794104
353,37
544,29
365,99
783,17
800,184.4794104
908,18
353,31
125,10
261,184.4794104
870,184.4794104
963,184.4794104
750,509
562,1807
131,288
841,49
750,55
673,184.4794104
439,6
507,21
903,71
625,18
1006,184.4794104
458,184.4794104
407,184.4794104
47,184.4794104
776,184.4794104
170,184.4794104
670,184.4794104
868,744
125,149
544,10
760,13
750,13
842,67
75,76
931,184.4794104
467,91
176,184.4794104
762,184.4794104
234,184.4794104
282,184.4794104
910,184.4794104
783,184.4794104
353,184.4794104
133,184.4794104
583,448
404,66
389,198
783,742
50,108
799,40
581,8
353,4
868,184.4794104
715,8
509,40
706,184.4794104
234,184.4794104
52,1
353,2
291,184.4794104
367,184.4794104
165,652
783,327
75,23
842,30
760,184.4794104
903,58
769,9
52,184.4794104
591,224
132,184.4794104
733,184.4794104
583,35
297,2
762,184.4794104
733,184.4794104
544,184.4794104
147,184.4794104
751,294
149,13
544,34
75,144
652,13
374,184.4794104
801,184.4794104
750,91
458,184.4794104
783,5
353,6
821,13
125,14
47,184.4794104
162,184.4794104
962,184.4794104
848,184.4794104
455,36
903,128
750,9
336,184.4794104
958,17
804,134
50,30
507,10
